ISO Clause,Clause Title,Note,Requirement Text,Requirement Type,Related Policy/Document,Process Owner,Scope/Applicability,Evidence/Record,Implementation Status,Comments/Notes
3,Terms and definitions,,"For the purposes of this document, the following terms and definitions apply. ISO and IEC maintain terminological databases for use in standardization at the following addresses: — ISO Online browsing platform: available at https://www.iso.org/obp  — IEC Electropedia: available at http://www.electropedia.org",,,,,,,
3.1,organization,,"person or group of people that has its own functions with responsibilities, authorities and relationships to achieve its objectives",,,,,,,
3.1,organization,note 1,"The concept of organization includes, but is not limited to, sole-trader, company, corporation, firm,
enterprise, authority, partnership, charity or institution, or part or combination thereof, whether incorporated
or not, public or private.",,,,,,,
3.1,organization,note 2,"If the organization is part of a larger entity, the term “organization” refers only to the part of the
larger entity that is within the scope of the compliance management system.",,,,,,,
3.2,interested party,,"stakeholder - person or organization(3.1) that can affect , be affected by, or perceive itself to be affected by a decision or activity",,,,,,,
3.3,top management,,person or group of people who directs and controls an organization (3.1) at the highest level,,,,,,,
3.3,top management,note 1,Top Management has the power to delegate authority and provide resources within the organization.,,,,,,,
3.3,top management,note 2,"If the scope of the management system (3.4) covers only part of an organization, then top management refers to those who direct and control that part of the organization.",,,,,,,
3.3,top management,note 3,"For the purposes of this document , the term ""top management"" refers to the highest level of executive management.",,,,,,,
3.4,management system,,set of interrelated or interacting elements of an organization (3.1) to establish policies (3.5) and objectives (3.6) as well as processes (3.8) to achieve those objectives,,,,,,,
3.4,management system,note 1,A management system can address a single discipline or several disciplines.,,,,,,,
3.4,management system,note 2,"The  management system elements include the organization's structure , role and responsibilities , planning and operation.",,,,,,,
3.5,policy ,,"intentions and direction of an organization (3.1), as formally expressed by its top management (3.3)",,,,,,,
3.5,policy ,note 1,A policy can also be formally expressed by an organization's governing body(3.21),,,,,,,
3.6,objective,,result to be achieved,,,,,,,
3.6,objective,note 1,"An objective can be strategic, tactical, or operational.",,,,,,,
3.6,objective,note 2,"Objectives can relate to different disciplines (such as finance, health and safety, and environment). They can be, for example, organization-wide, or specific to a project , service or process(3.8)",,,,,,,
3.6,objective,note 3,"An objective can be expressed in other ways e.g. as an intended result, a purpose, an operational criterion, as a compliance (3.26) objective , or by the use of other words with similar meaning (e.g. aim, goal, or target)",,,,,,,
3.6,objective,note 4,"In the context of compliance management systems(3.4), compliance objectives are set by the organization (3.1) , consistent with the compliance policy (3.5) , to achieve specific results.",,,,,,,
3.7,risk,,effect of uncertainty on objectives(3.6),,,,,,,
3.7,risk,note 1,An effect is a deviation from the expected - positive or negative,,,,,,,
3.7,risk,note 2,"Uncertainty is the state, even partial, of deficiency of information related to , understanding or knowledge of , an event, its consequence, or a combination of these.",,,,,,,
3.7,risk,note 3,"Risk is often characterized by reference to potential ""events"" (as defined in ISO Guide 73) and ""consequences"" (as defined in ISO Guide 73), or a combination of these.",,,,,,,
3.7,risk,note 4,Risk is often expressed in terms of a combination of the consequences of an event (including changes in circumstances) and the associated “likelihood” (as defined in ISO Guide 73) of occurrence.,,,,,,,
3.8,process,,set of interrelated or interacting activities that uses or transforms inputs to deliver a result ,,,,,,,
3.8,process,note 1,"Whether the result of a process is called output, product or service depends on the context of the
reference.",,,,,,,
3.9,competence ,,ability to apply knowledge and skills to achieve intended results,,,,,,,
3.1,documented information,,information required to be controlled and maintained by an organization (3.1) and the medium on which it is contained  ,,,,,,,
3.1,documented information,note 1,"Documented information can be in any format and media, and from any source.",,,,,,,
3.1,documented information,note 2 ,Documented information can refer to:,,,,,,,
3.1,documented information,note 2 (a),"the management system (3.4), including related processes (3.8);",,,,,,,
3.1,documented information,note 2 (b),information created in order for the organization to operate (documentation);,,,,,,,
3.1,documented information,note 2 (c),evidence of results achieved (records).,,,,,,,
3.11,performance,,measurable result,,,,,,,
3.11,performance,note 1,Performance can relate either to quantitative or qualitative findings.,,,,,,,
3.11,performance,note 2,"Performance can relate to managing activities, processes (3.8), products, services, systems or organizations (3.1).",,,,,,,
3.12,continual improvement,,recurring activity to enhance performance(3.11),,,,,,,
3.13,effeectiveness,,extent to which planned activities are realized and planned results are achieved,,,,,,,
3.14,requirement,,"need or expectation that is stated , generally implied or obligatory",,,,,,,
3.14,requirement,note 1,"""Generally implied"" means that it is custom or common practice for the organization (3.1) and interested parties (3.2) that the need or expectation under consideration is implied.",,,,,,,
3.14,requirement,note 2,"A specified requirement is one that is stated, e.g. in documented information (3.10).",,,,,,,
3.15,conformity,,fulfilment of a requirement (3.14),,,,Entire Organization,,,
3.16,nonconformity,,non-fulfilment of a requirement (3.14),,,,Legal & Compliance functions,,,
3.17,corrective action,,action to eliminate the cause(s) of a nonconformity (3.16) and to prevent recurrence,,,,All employees and third parties,,,
3.18,audit,,systematic and independent process (3.8) for obtaining evidence and evaluating it objectively to determine the extent to which the audit criteria are fullfilled ,,,,EU operations only,,,
3.18,audit,note 1,"An audit can be an internal audit (first party) or an external audit (second party or third party (3.30)) , and it can be a combined audit (combining two or more disciplines).",,,,,,,
3.18,audit,note 2," An internal audit is conducted by the organization (3.1) itself, or by an external party on its behalf.",,,,,,,
3.18,audit,note 3,“Audit evidence” and “audit criteria” are defined in ISO 19011.,,,,,,,
3.18,audit,note 4,Independence can be demonstrated by the freedom from responsibility for the activity being audited or freedom from bias and conflict of interest.,,,,,,,
3.19,measurement,,process (3.8) to determine a value,,,,,,,
3.2,monitoring,,"determining the status of a system, a process (3.8) or an activity",,,,,,,
3.2,monitoring,note 1,"To determine the status, there can be a need to check, supervise or critically observe.",,,,,,,
3.21,governing body,,"person or group of persons that has the ultimate responsibility and authority for an organization’s (3.1) activities, governance and policies (3.5) and to which top management (3.3) reports and by which top management is held accountable",,,,,,,
3.21,governing body,note 1,"Not all organizations, particularly small organizations, will have a governing body separate from top management.",,,,,,,
3.21,governing body,note 2,"A governing body can include, but is not limited to, a board of directors, committees of the board, a supervisory board or trustees.",,,,,,,
3.22,personnel,,"individuals in a relationship recognized as a work relationship in national law or practice, or in any contractual relationship that depends on its activity from the organization (3.1)",,,,,,,
3.23,compliance function,,person or group of persons with responsibility and authority for the operation of the compliance (3.26),,,,,,,
3.23,compliance function,note 1,Preferably one individual will be assigned to the oversight of the compliance management system.,,,,,,,
3.24,compliance risk,,likelihood of occurrence and the consequences of noncompliance (3.27) with the organization’s (3.1) compliance obligations (3.25),,,,,,,
3.25,compliance obligations,,requirements (3.14) that an organization (3.1) mandatorily has to comply with as well as those that an organization voluntarily chooses to comply with,,,,,,,
3.26,compliance,,meeting all the organization’s (3.1) compliance obligations (3.25),,,,,,,
3.27,noncompliance,,non-fulfilment of compliance obligations (3.25),,,,,,,
3.28,compliance culture,,"values, ethics, beliefs and conduct (3.29) that exist throughout an organization (3.1) and interact with the organization’s structures and control systems to produce behavioural norms that are conducive to compliance (3.26)",,,,,,,
3.29,conduct,,"behaviours and practices that impact outcomes for customers, employees, suppliers, markets and communities",,,,,,,
3.3,third party,,person or body that is independent of the organization (3.1),,,,,,,
3.3,third party,note 1,"All business associates are third parties, but not all third parties are business associates.",,,,,,,
3.31,procedure,,"specified way to carry out an activity or a process (3.8) [SOURCE: ISO 9000:2015, 3.4.5]",,,,,,,
4,Context of the organization,,,,,,,,,
4.1,Understanding the organization and its context,,"The organization shall determine external and internal issues that are relevant to its purpose and that affect its ability to achieve the intended result(s) of its compliance management system. For this purpose, the organization shall consider a broad range of issues, including, but not limited to: — the business model, including strategy, nature, size and scale complexity and sustainability of the organization’s activities and operations; — the nature and scope of business relations with third parties; — the legal and regulatory context; — the economic situation; — social, cultural and environmental contexts; — internal structures, policies, processes, procedures and resources, including technology;its compliance culture",,,,,,,
4.2,Understanding the needs and expectations of interested parties,,The organization shall determine: — the interested parties that are relevant to the compliance management system; — the relevant requirements of these interested parties; — which of these requirements will be addressed through the compliance management system,,,,,,,
4.3,Determining the scope of the compliance management system,,The organization shall determine the boundaries and applicability of the compliance management system to establish its scope.,,,,,,,
4.3,Determining the scope of the compliance management system,note,"The scope of the compliance management system is intended to clarify the main compliance risks the organization is facing and the geographical or organizational boundaries, or both, to which the compliance management system will apply, especially if the organization is a part of a larger entity. When determining this scope , the organization shall consider: - The external and internal issues to in 4.1; -  the requirements referred to in 4.2 , 4.5 , and 4.6. The scope shall be available as documented information.",,,,,,,
4.4,Compliance management system,paragraph 1,"The organization shall establish , implement, maintain and continually improve a compliance management system , including the processes neede and their interactions, in accordance with the requirements of this document. ",,,,,,,
4.4,Compliance management system,paragraph 2,"The compliance management system shall reflect the organization's values , objectives , strategy and compliance risks, taking into account the context of the organization (see 4.1)",,,,,,,
4.5,Compliance obligations,paragraph 1,"The organization shall systematically identify its compliance obligations resulting from its activities, products and services, and asses their impact on its operations.",,,,,,,
4.5,Compliance obligations,paragraph 2,The organization shall have processes in place to:,,,,,,,
4.5,Compliance obligations,paragraph 2 (a),a.) identify new and changed compliance obligations to ensureongoing compliance;,,,,,,,
4.5,Compliance obligations,paragraph 2 (b),b.) evaluate the impact of the identified changes and implement any necessary changes in the management of the compliance obligations.,,,,,,,
4.5,Compliance obligations,paragraph 3,The organization shall maintain documented information of its compliance obligations.,,,,,,,
4.6,Compliance risk assessment,paragraph 1,"The organization shall identify , analyse and  evaluate its compliance risks based upon a compliance risk assessment.",,,,,,,
4.6,Compliance risk assessment,paragraph 2,"The organization shall identify compliance risks by relating its compliance obligations to its activities, products, services and relevant aspects of its operations.",,,,,,,
4.6,Compliance risk assessment,paragraph 3,The organization shall assess compliance risks related to outsourced and third-party processes.,,,,,,,
4.6,Compliance risk assessment,paragraph 4,The compliance risks shall be assessed periodically and whenever there are material changes in circumstances or organizational context.,,,,,,,
4.6,Compliance risk assessment,paragraph 5,The organization shall retain documented information on the compliance risk assessment and on the actions to address its compliance risks.,,,,,,,
5,Leadership,,,,,,,,,
5.1,Leadership and Commitment,,,,,,,,,
5.1.1,Governing body and top management,paragraph 1,The government body and top management shall demonstrate leadership and commitment with respect to the compliance management system by:,,,,,,,
5.1.1,Governing body and top management,paragraph 1 (section),_ ensuring that the compliance policy and compliance objectives are established and are compatible with the strategic direction of the organization.,,,,,,,
